ID_LTE,radio,lat,lon
185,LTE,39.99792,-82.986381
186,LTE,40.096674,-82.961038
187,LTE,40.124039,-83.192377
188,LTE,39.952295,-82.853771
189,LTE,40.092766,-82.966943
190,LTE,40.077118,-83.184792
191,LTE,40.048943,-83.02141
192,LTE,39.958605,-83.332073
193,LTE,39.992762,-83.00658
194,LTE,39.999942,-83.013366
195,LTE,40.005751,-82.871667
196,LTE,40.023799,-82.942356
197,LTE,39.989568,-83.003936
198,LTE,40.129402,-83.19241
199,LTE,40.026206,-82.89166
200,LTE,40.008878,-83.004254
201,LTE,40.006399,-82.874762
202,LTE,40.032063,-82.990054
203,LTE,40.084308,-82.911578
204,LTE,39.989882,-82.984727
205,LTE,39.96749,-83.146926
206,LTE,40.198774,-83.290405
207,LTE,40.030222,-82.936793
208,LTE,40.114079,-83.173469
209,LTE,40.154078,-83.241549
210,LTE,40.015975,-83.002494
211,LTE,39.973161,-82.965485
212,LTE,39.969211,-82.907358
213,LTE,40.070051,-83.122956
214,LTE,40.009018,-83.068215
215,LTE,40.067479,-83.114801
216,LTE,40.06704,-83.128473
217,LTE,39.996997,-83.046287
218,LTE,40.163495,-83.012623
219,LTE,40.094954,-83.000061
220,LTE,40.055209,-82.913533
221,LTE,40.034737,-83.134196
222,LTE,40.08193,-83.115261
223,LTE,40.036792,-83.133345
224,LTE,39.968068,-83.179009
225,LTE,40.08579,-83.097123
226,LTE,40.081389,-83.096294
227,LTE,40.078707,-83.017838
228,LTE,40.084061,-83.023671
229,LTE,39.977787,-83.259132
230,LTE,39.975927,-83.262209
231,LTE,39.966318,-83.271376
232,LTE,39.952887,-83.137361
233,LTE,39.951481,-83.137846
234,LTE,40.055967,-82.910104
235,LTE,40.097219,-82.979111
236,LTE,40.111033,-83.034466
237,LTE,40.107649,-83.033969
238,LTE,40.108182,-83.038473
239,LTE,40.023369,-83.156492
240,LTE,40.086271,-83.095022
241,LTE,40.064319,-83.072313
242,LTE,40.098457,-83.095388
243,LTE,40.101473,-83.110436
244,LTE,39.955012,-83.089358
245,LTE,39.9562,-83.09731
246,LTE,40.048635,-83.068517
247,LTE,39.943687,-83.092359
248,LTE,39.94244,-83.078092
249,LTE,39.963215,-83.311643
250,LTE,39.966726,-83.297591
251,LTE,39.965024,-83.285773
252,LTE,40.029106,-83.150634
253,LTE,40.031384,-83.151757
254,LTE,40.123852,-83.211189
