ID_LTE,radio,lat,lon
161,LTE,40.130173,-83.152908
162,LTE,40.126717,-83.036954
163,LTE,39.963455200195,-83.305892944336
164,LTE,40.126517,-82.972461
165,LTE,40.111770629883,-82.948837280273
166,LTE,40.054092407227,-82.885665893555
167,LTE,39.992669,-82.984824
168,LTE,39.957724,-82.935404
169,LTE,39.942107,-82.879235
170,LTE,39.991656,-83.020656
171,LTE,40.048599243164,-82.999649047852
172,LTE,39.945647,-82.957013
173,LTE,39.956508,-82.860375
174,LTE,39.956313,-82.940268
175,LTE,39.992291,-83.010888
176,LTE,39.973274,-82.893244
177,LTE,40.007354,-82.937036
178,LTE,39.940508,-82.988678
179,LTE,40.010092,-82.951717
180,LTE,39.961077,-82.940856
181,LTE,40.043106079102,-82.99690246582
182,LTE,40.056838989258,-82.998275756836
183,LTE,40.047155,-82.995299
184,LTE,40.058924,-83.017234
185,LTE,40.091228,-82.90268
186,LTE,40.007698,-83.119068
187,LTE,40.112777,-83.068537
188,LTE,40.033292,-83.167862
189,LTE,40.087123,-82.927718
190,LTE,40.102549,-82.932084
191,LTE,40.084733,-83.129862
192,LTE,40.094576,-82.990774
193,LTE,40.063566,-83.068568
194,LTE,40.081558227539,-83.10676574707
195,LTE,39.940347,-83.104255
196,LTE,39.930351,-83.142261
197,LTE,40.133125,-83.089706
198,LTE,39.996836,-83.194013
199,LTE,40.054876,-83.099392
200,LTE,40.090539,-82.914543
201,LTE,40.055794,-83.054131
202,LTE,40.066951,-83.045401
203,LTE,40.14785,-83.09717
204,LTE,40.077798,-82.963638
205,LTE,40.160153,-82.955598
206,LTE,40.136625,-82.970576
207,LTE,40.11589050293,-83.132858276367
208,LTE,40.130212,-82.897829
209,LTE,40.083582,-83.143744
210,LTE,40.139408,-82.885666
211,LTE,40.136344,-83.01609
212,LTE,40.054351,-82.935429
213,LTE,40.12432,-82.941214
214,LTE,40.049086,-83.01119
215,LTE,40.083466,-82.964334
216,LTE,40.022088,-83.094253
217,LTE,40.155279,-83.002983
218,LTE,40.088424682617,-83.139724731445
219,LTE,40.10475,-82.945815
220,LTE,40.096468,-82.890767
221,LTE,40.106752,-82.960122
222,LTE,40.004936,-83.031884
223,LTE,40.092544555664,-82.90901184082
224,LTE,40.00046,-83.037395
225,LTE,40.038045,-83.165707
226,LTE,40.005616,-83.026045
227,LTE,40.108667,-82.996891
228,LTE,40.148849487305,-82.955703735352
229,LTE,40.115204,-82.903519
230,LTE,40.026411,-82.992305
231,LTE,40.019341,-82.916943
232,LTE,40.020899,-82.940093
233,LTE,39.971183,-82.92443
234,LTE,39.928984,-82.93881
235,LTE,39.980477,-82.858992
236,LTE,40.018966,-82.961849
237,LTE,40.035509,-83.000185
238,LTE,40.030746459961,-82.917251586914
239,LTE,39.953842163086,-82.96257019043
240,LTE,39.944229125977,-82.851333618164
241,LTE,39.97444152832,-82.995529174805
242,LTE,40.01838684082,-83.033981323242
243,LTE,40.093755,-82.99775
244,LTE,40.042025,-83.155133
245,LTE,40.114181,-83.084226
246,LTE,40.052226,-83.064286
247,LTE,39.942709,-83.07841
248,LTE,39.987817,-83.069752
249,LTE,40.103654,-82.995585
250,LTE,40.058153,-82.866007
251,LTE,40.064051,-82.996664
252,LTE,40.139951,-82.984269
253,LTE,40.112263,-83.025313
254,LTE,40.080397,-83.086186
255,LTE,40.161528,-82.999163
256,LTE,40.07409,-82.960183
257,LTE,40.045852661133,-82.99690246582
258,LTE,40.06116,-82.93139
259,LTE,40.001084,-83.151121
260,LTE,40.091008,-83.084502
261,LTE,40.047225952148,-83.033981323242
262,LTE,40.028555,-83.043197
263,LTE,40.046978,-83.131304
264,LTE,40.111086,-82.977253
265,LTE,40.004308,-83.015087
266,LTE,40.110209,-83.152564
267,LTE,40.154076,-83.042488
268,LTE,40.077888,-83.099425
269,LTE,39.984367,-83.06723
270,LTE,40.157709,-82.957941
271,LTE,39.99719,-82.981521
272,LTE,39.957962036133,-82.871932983398
273,LTE,40.112409,-82.949746
274,LTE,40.157089233398,-82.96257019043
275,LTE,39.955611,-82.875898
276,LTE,39.965927,-82.866989
277,LTE,40.031653,-82.934326
278,LTE,40.000324,-82.942215
279,LTE,39.967913,-82.921098
280,LTE,40.033983,-82.94818
281,LTE,40.036182,-82.962165
282,LTE,39.952704,-82.95228
283,LTE,39.966607,-82.944735
284,LTE,39.931964,-83.11142
285,LTE,40.04456,-82.922147
286,LTE,40.07544,-83.134285
287,LTE,40.089836,-82.999014
288,LTE,40.076505,-83.017595
289,LTE,40.08159,-82.986994
290,LTE,40.100666,-83.080177
291,LTE,40.09211,-82.972238
292,LTE,40.093369,-83.102646
293,LTE,40.141548,-83.084961
294,LTE,40.11198,-83.123559
295,LTE,40.130997,-82.875137
296,LTE,40.014601,-83.155691
297,LTE,40.101232,-83.090891
298,LTE,40.109894,-82.914172
299,LTE,40.088807,-83.022697
300,LTE,40.197258,-82.911072
301,LTE,40.111005,-83.024394
302,LTE,40.082815,-82.979032
303,LTE,40.115952,-82.949845
304,LTE,40.073529,-82.999656
305,LTE,40.026903,-82.963804
306,LTE,40.178533,-82.95492
307,LTE,40.053118,-83.144729
308,LTE,39.946582,-82.913513
309,LTE,40.163271,-82.965961
310,LTE,40.13022,-82.93693
311,LTE,40.013296,-82.996585
312,LTE,40.018318,-82.994934
313,LTE,39.987988,-82.954171
314,LTE,39.971615,-82.874032
315,LTE,39.949996,-82.883133
316,LTE,40.004395,-82.867291
317,LTE,40.021133422852,-82.867813110352
318,LTE,39.93113,-82.953558
319,LTE,40.028269,-82.909225
320,LTE,39.997061,-82.858753
321,LTE,40.022484,-83.031987
322,LTE,39.977187,-82.908675
323,LTE,39.970321655273,-83.021621704102
324,LTE,40.07829,-82.922743
325,LTE,40.05347,-83.095711
326,LTE,40.029373168945,-83.049087524414
327,LTE,40.030744,-83.122004
328,LTE,40.076798,-83.125554
329,LTE,40.109073,-83.112631
330,LTE,40.104165,-83.110484
331,LTE,40.033915,-83.140611
332,LTE,39.940489,-83.16565
333,LTE,40.119846,-83.015582
334,LTE,40.034866333008,-83.097152709961
335,LTE,40.085721,-83.097135
336,LTE,40.086829,-83.118942
337,LTE,40.052623,-82.997232
338,LTE,40.128956,-82.999192
339,LTE,40.025212,-83.080694
340,LTE,40.152752,-83.057793
341,LTE,40.091354,-83.070979
342,LTE,40.061851,-83.129088
343,LTE,40.028331,-82.887998
344,LTE,40.137664,-83.010062
345,LTE,40.14819,-82.974783
346,LTE,40.062235,-83.16359
347,LTE,40.084412,-82.946872
348,LTE,40.047501,-82.854904
349,LTE,40.156475,-83.089046
350,LTE,40.143459,-83.004932
351,LTE,40.099515,-82.904224
352,LTE,40.154342651367,-82.955703735352
353,LTE,40.144729614258,-82.90901184082
354,LTE,40.11064,-82.928364
355,LTE,40.005636,-83.066443
356,LTE,40.155762,-83.088318
357,LTE,40.054092407227,-82.961196899414
358,LTE,40.039708,-82.976065
359,LTE,40.055923,-82.953072
360,LTE,39.957962036133,-82.915878295898
361,LTE,40.165328979492,-82.957077026367
362,LTE,40.096017,-82.913698
363,LTE,39.982152,-83.048997
364,LTE,39.968838,-82.932123
365,LTE,39.999362,-82.985289
366,LTE,40.00686,-82.853745
367,LTE,40.025574,-82.950949
368,LTE,40.024498,-83.063303
369,LTE,40.006808,-83.047264
370,LTE,40.017717,-83.036912
371,LTE,39.978977,-82.926929
372,LTE,40.029102,-82.991865
373,LTE,39.934616088867,-82.85270690918
374,LTE,39.944229125977,-82.851333618164
375,LTE,40.02199,-82.875106
376,LTE,39.999160766602,-82.950210571289
377,LTE,39.955215454102,-82.91862487793
378,LTE,39.964828491211,-82.957077026367
379,LTE,39.958201,-82.914087
380,LTE,39.965214,-83.28646
381,LTE,39.966201782227,-82.972183227539
382,LTE,39.957358,-82.960828
383,LTE,40.000534057617,-82.980422973633
384,LTE,39.985427856445,-83.022994995117
385,LTE,39.975321,-83.16798
386,LTE,39.989745,-83.179754
387,LTE,39.941828,-83.259767
388,LTE,39.975031,-83.272607
389,LTE,39.959003,-83.340247
390,LTE,40.231942,-83.11149
391,LTE,40.221357,-83.046552
392,LTE,40.187223,-83.269414
393,LTE,40.212342,-83.122332
394,LTE,40.1199,-83.185583
395,LTE,39.976952,-83.242722
396,LTE,40.079098,-83.354465
397,LTE,40.069198608398,-83.02848815918
398,LTE,40.139984,-83.222398
399,LTE,39.95246887207,-83.233108520508
400,LTE,40.110912,-83.184509
401,LTE,40.248349,-82.871365
402,LTE,40.220423,-83.324589
403,LTE,40.266953,-83.060715
404,LTE,40.258097,-82.927715
405,LTE,40.260047,-83.04942
406,LTE,40.255185,-83.138854
407,LTE,40.090247,-83.244506
408,LTE,40.149964,-83.242478
409,LTE,40.233993530273,-83.352584838867
410,LTE,39.967506,-82.969016
411,LTE,40.007400512695,-82.979049682617
412,LTE,40.229952,-83.189769
413,LTE,39.987777,-83.099102
414,LTE,39.933242797852,-82.915878295898
415,LTE,39.992294311523,-82.98454284668
416,LTE,40.023073,-83.126638
417,LTE,40.016638,-83.01689
418,LTE,39.997852,-83.162293
419,LTE,40.028351,-82.992453
420,LTE,40.028835,-82.992622
421,LTE,40.118493,-83.136955
422,LTE,40.111537,-83.187038
423,LTE,40.040186,-83.055515
424,LTE,39.959946,-82.968957
425,LTE,40.227127,-83.154602
426,LTE,39.93883,-83.141841
427,LTE,40.026486,-82.89332
428,LTE,39.96172,-82.98225
429,LTE,39.954623,-82.979806
430,LTE,40.017079,-82.997557
431,LTE,40.05933,-82.968864
432,LTE,39.966505,-82.966981
433,LTE,39.984762,-82.989359
434,LTE,39.976399,-82.984921
435,LTE,40.025727,-82.906913
436,LTE,40.00233,-83.000601
437,LTE,40.047422,-82.920391
438,LTE,39.952881,-82.861221
439,LTE,40.14061,-83.057327
440,LTE,39.967962,-82.946961
441,LTE,39.953842,-82.993799
442,LTE,39.9443,-83.120851
443,LTE,39.96076,-83.11848
444,LTE,39.94113,-83.114511
445,LTE,39.938538,-83.108106
446,LTE,39.982893,-83.111308
447,LTE,39.945002,-83.013124
448,LTE,39.955087,-83.017502
449,LTE,39.962334,-83.152891
450,LTE,39.980125,-83.158073
451,LTE,39.949722,-82.965739
452,LTE,39.958476,-82.912714
453,LTE,39.978561,-82.96669
454,LTE,40.053305,-82.898993
455,LTE,39.956115,-82.87449
456,LTE,39.93988,-82.987404
457,LTE,39.956863,-83.04538
458,LTE,40.06003,-82.955589
459,LTE,39.938676,-82.970213
460,LTE,39.954008,-83.097599
461,LTE,39.953873,-83.088669
462,LTE,39.9646,-83.136291
463,LTE,39.960341,-82.916617
464,LTE,39.940109,-82.857977
465,LTE,40.059975,-82.955774
466,LTE,39.933929,-82.974771
467,LTE,40.06443,-82.973213
468,LTE,40.077579,-83.025196
469,LTE,40.062332,-83.039474
470,LTE,39.97631,-82.906603
471,LTE,40.063353,-82.947974
472,LTE,40.029864,-82.95299
473,LTE,40.021907,-82.897699
474,LTE,39.946521,-82.916807
475,LTE,39.967539,-83.089951
476,LTE,39.962655,-83.053071
477,LTE,39.956461,-82.898535
478,LTE,39.957992,-82.900215
479,LTE,40.036165,-82.963354
480,LTE,40.056569,-82.914931
481,LTE,39.974304,-82.898112
482,LTE,40.002267,-82.893042
483,LTE,39.979441,-82.936329
484,LTE,39.941935,-82.89563
485,LTE,40.001711,-83.148553
486,LTE,39.938039,-82.894315
487,LTE,39.953906,-82.909864
488,LTE,40.048846,-82.999148
489,LTE,40.053172,-82.9743
490,LTE,39.993324,-82.916565
491,LTE,40.001183,-83.025884
492,LTE,40.004726,-83.015208
493,LTE,39.94315,-83.075867
494,LTE,40.018413,-83.013602
495,LTE,40.058503,-82.953057
496,LTE,39.986799,-82.997486
497,LTE,40.083187,-82.95458
498,LTE,40.022232,-82.919174
499,LTE,40.059188,-82.943005
500,LTE,40.019871,-82.973337
501,LTE,39.947989,-83.054388
502,LTE,39.946143,-83.069915
503,LTE,39.960373,-83.116954
504,LTE,40.056416,-82.934048
505,LTE,40.081902,-82.957249
506,LTE,40.046968,-82.95845
507,LTE,39.969622,-83.005961
508,LTE,40.032476,-83.174586
509,LTE,39.967327,-82.988203
510,LTE,40.056353,-82.913097
511,LTE,40.040566,-82.904366
512,LTE,39.97436,-82.992009
513,LTE,39.976539,-83.004053
514,LTE,40.06691,-82.956161
515,LTE,39.983913,-83.060261
516,LTE,40.059919,-82.930854
517,LTE,39.982681274414,-83.087539672852
518,LTE,39.95255,-82.951503
519,LTE,40.115891,-83.076553
520,LTE,40.125109,-82.972237
521,LTE,40.214298,-82.931801
522,LTE,40.001678,-82.926407
523,LTE,39.949254,-82.909248
524,LTE,40.251445,-82.978771
525,LTE,40.230724,-82.928815
526,LTE,40.261105,-82.956288
527,LTE,40.107478,-82.985716
528,LTE,40.219471,-83.033412
529,LTE,39.950963,-83.060237
530,LTE,40.152969360352,-83.002395629883
531,LTE,39.983511,-83.281994
532,LTE,39.944458,-82.937851
533,LTE,40.109557,-82.977243
534,LTE,40.243944,-83.03127
535,LTE,40.242569,-83.091485
536,LTE,40.038986206055,-82.983169555664
537,LTE,40.139553,-82.991621
538,LTE,40.037612915039,-82.983169555664
539,LTE,39.941462,-83.085561
540,LTE,39.954469,-83.046867
541,LTE,40.117928,-83.075247
542,LTE,40.187301635742,-82.977676391602
543,LTE,39.96501,-82.962749
544,LTE,39.955932,-82.864605
545,LTE,40.132975,-83.070775
546,LTE,40.082205,-83.109577
547,LTE,39.964526,-83.322201
548,LTE,39.992553,-83.24541
549,LTE,39.929259,-83.014532
550,LTE,39.949144,-83.061338
551,LTE,40.030767,-82.948967
552,LTE,40.060959,-82.982483
553,LTE,40.221633911133,-83.036727905273
554,LTE,40.084854,-82.951035
555,LTE,40.026626586914,-82.951583862305
556,LTE,39.977099,-82.991456
557,LTE,39.990921,-82.994156
558,LTE,39.989593,-82.883637
559,LTE,40.030747,-82.929611
560,LTE,40.029239,-82.955759
561,LTE,40.048487,-82.97564
562,LTE,40.185605,-83.031449
563,LTE,39.986041,-83.012889
564,LTE,40.088707,-83.055527
565,LTE,39.941426,-82.993765
566,LTE,40.25747,-82.921133
567,LTE,40.247826,-82.928645
568,LTE,40.257256,-82.927615
569,LTE,40.198531,-82.938076
570,LTE,40.115898,-82.929605
571,LTE,39.948531,-82.992069
572,LTE,40.192795,-82.941056
573,LTE,40.226549,-83.052341
574,LTE,40.181209,-83.04417
575,LTE,40.215234,-83.056657
576,LTE,40.098037719727,-83.121871948242
577,LTE,40.031591,-82.960284
578,LTE,40.044121,-83.066765
579,LTE,40.05163,-82.959182
580,LTE,40.05771,-82.941308
581,LTE,39.93049621582,-83.123245239258
582,LTE,40.093575,-82.955017
583,LTE,40.04886,-83.110212
584,LTE,40.226231,-83.131848
585,LTE,40.195541,-83.133774
586,LTE,39.944229125977,-83.071060180664
587,LTE,40.199827,-83.027996
588,LTE,39.96208190918,-83.153457641602
589,LTE,40.045817,-82.977053
590,LTE,39.95246887207,-83.003768920898
591,LTE,39.989547729492,-82.985916137695
592,LTE,39.930344,-83.091965
593,LTE,40.025273,-82.894213
594,LTE,40.026626586914,-82.951583862305
595,LTE,40.028405,-82.992471
596,LTE,40.029499,-82.981784
597,LTE,39.979934692383,-83.003768920898
598,LTE,40.059585571289,-82.878799438477
599,LTE,39.978561401367,-83.18229675293
600,LTE,39.960813,-82.915439
601,LTE,40.150144,-83.12609
602,LTE,40.153605,-83.131851
603,LTE,39.963223,-82.978342
604,LTE,39.955556,-83.02141
605,LTE,39.946394,-83.027038
606,LTE,39.964122,-83.033962
607,LTE,39.943355,-83.018514
608,LTE,39.95151,-83.045395
609,LTE,40.103530883789,-82.870559692383
610,LTE,39.95246887207,-83.088912963867
611,LTE,39.95246887207,-83.088912963867
612,LTE,40.127047,-83.18988
613,LTE,39.98089,-83.038508
614,LTE,40.135126,-83.201032
615,LTE,40.074691772461,-82.988662719727
616,LTE,39.951339,-83.049357
617,LTE,39.98886,-83.046959
618,LTE,40.058212280273,-82.903518676758
619,LTE,39.969152,-82.994942
620,LTE,39.977442,-82.979374
621,LTE,40.086326,-82.944701
622,LTE,40.072768,-82.937663
623,LTE,40.087051,-82.938766
624,LTE,40.087051391602,-82.966690063477
625,LTE,39.950256,-83.066036
626,LTE,39.958016,-82.882177
627,LTE,39.958265,-82.8771
628,LTE,40.208864,-83.309564
629,LTE,40.069713,-83.08028
630,LTE,39.976646,-82.965128
631,LTE,40.045921,-83.024442
632,LTE,40.061881,-83.061531
633,LTE,39.946444,-83.058491
634,LTE,40.099817,-82.950663
635,LTE,40.020618,-82.907505
636,LTE,40.08141,-83.071213
637,LTE,40.051345825195,-82.976303100586
638,LTE,39.963309,-83.142654
639,LTE,39.981025,-83.238077
640,LTE,39.99792,-82.986381
641,LTE,40.027132,-82.950104
642,LTE,40.088424682617,-82.906265258789
643,LTE,40.096674,-82.961038
