Migration ID,Migration Technique,Workload,Available Network Bandwidth (mbps),Page Dirty Rate (4KB pages per second),VM_SIZE (MB),Page transfer rate (MB/s),Total Migration Time (ms),Downtime (ms),Total Transferred Data (KB)
1463748195,compress,mplayer,442,19693,2024.1953125,150,43614,18,2353085
1463748610,compress,mem,165,18770,1081.5859375,150,127814,20745,2589255
1463749083,x-postcopy-ram,mem,891,10753,963.46484375,150,9135,3,994618
1463749360,x-postcopy-ram,mem,904,9689,963.49609375,150,9005,2,994650
1463749430,x-postcopy-ram,mplayer,919,2147,1415.7265625,150,12990,2,1457649
1463749909,x-postcopy-ram,mem,913,1781,727.828125,150,6755,1,753384
1463750414,original,parsec,882,218,385.671875,150,4853,258,522878
1463750567,original,dacapo,879,3675,330.125,150,3455,185,370977
1463750712,original,mem,888,34180,605.46484375,150,21627,3196,2346342
1463750881,original,parsec,925,2646,2034.66796875,150,21321,292,2408136
1463750966,original,mplayer,937,23060,2032.87890625,150,26755,663,3060935
1463751146,original,mplayer,900,29316,2032.88671875,150,28037,685,3080238
1463751326,original,dacapo,892,4766,330.0234375,150,3424,191,373108
1463751475,original,dacapo,900,19204,721.96484375,150,19617,521,2157157
1463751558,original,parsec,927,15341,773.921875,150,11473,289,1298565
1463751848,auto-converge,mem,925,12623,1155.5859375,150,18330,263,2070339
1463751928,auto-converge,mem,911,7864,785.56640625,150,9887,307,1099385
1463752001,auto-converge,mem,911,8054,785.54296875,150,10030,307,1116347
1463752071,auto-converge,dacapo,918,7866,344.24609375,150,3820,275,428382
1463752136,auto-converge,mem,882,18278,1085.5390625,150,30193,312,3253402
1463752227,auto-converge,dacapo,918,16011,675.3359375,150,6983,292,782461
1463752294,auto-converge,parsec,936,3178,2034.82421875,150,22250,288,2544577
1463752377,auto-converge,dacapo,803,6906,333.33203125,150,3818,212,374533
1463752442,auto-converge,parsec,921,6581,2034.23828125,150,21496,300,2418178
1463752527,auto-converge,dacapo,910,3915,333.58203125,150,3617,294,401983
1463752677,auto-converge,mem,930,29427,1119.66015625,150,29541,511,3354180
1463752768,auto-converge,dacapo,905,4628,674.01953125,150,7088,265,783188
1463752839,auto-converge,parsec,863,146,404.78125,150,5038,252,531098
