C_LAT,C_LON,STO_LAT,STO_LON,STO_ID,STT_LAT,STT_LON,STT_ID,Cone_Max,Cone_Min,Migration Occurance,C_Heading
39.980572,-82.953895,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,0,84.0
39.980575,-82.953735,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,0,84.0
39.980582,-82.953587,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,0,84.0
39.980602,-82.953477,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,0,84.0
39.980603,-82.953347,39.978561,-82.96669,120,40.000324,-82.942215,61,180.0,0.0,0,90.0
39.9806,-82.95325,39.978561,-82.96669,120,40.000324,-82.942215,61,180.0,0.0,0,90.0
39.9806,-82.95313,39.978561,-82.96669,120,40.000324,-82.942215,61,180.0,0.0,0,90.0
39.9806,-82.953015,39.978561,-82.96669,120,40.000324,-82.942215,61,180.0,0.0,0,90.0
39.9806,-82.952902,39.978561,-82.96669,120,40.000324,-82.942215,61,180.0,0.0,0,90.0
39.980602,-82.952782,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,0,84.0
39.980605,-82.952655,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,0,84.0
39.980615,-82.952543,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,0,84.0
39.980618,-82.952423,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,0,84.0
39.980608,-82.952305,39.978561,-82.96669,120,40.000324,-82.942215,61,180.0,0.0,0,90.0
39.98062,-82.95218,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,0,84.0
39.98063,-82.952032,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,0,84.0
39.980647,-82.95188,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,0,84.0
39.980658,-82.951718,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,0,84.0
39.980672,-82.951572,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,0,84.0
39.98068,-82.951427,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,0,84.0
39.980695,-82.951272,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,0,84.0
39.980708,-82.951107,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,0,84.0
39.980723,-82.950945,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,0,84.0
39.980735,-82.950775,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,0,84.0
39.980748,-82.950607,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,0,84.0
39.98076,-82.950433,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,1,84.0
39.98077,-82.950248,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,1,84.0
39.980778,-82.950055,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,1,84.0
39.980788,-82.949853,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,1,84.0
39.980795,-82.949652,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,1,84.0
39.980795,-82.949423,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,1,84.0
39.980793,-82.949188,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,1,84.0
39.980797,-82.948962,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,1,84.0
39.980798,-82.948735,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,1,84.0
39.980803,-82.94851,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,1,84.0
39.980803,-82.948278,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,1,84.0
39.980808,-82.948045,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,1,84.0
39.980818,-82.947813,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,1,84.0
39.980828,-82.947558,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,1,84.0
39.980837,-82.947307,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,1,84.0
39.980845,-82.947055,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,1,84.0
39.980855,-82.946808,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,1,84.0
39.98087,-82.946563,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,1,84.0
39.980883,-82.94632,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,1,84.0
39.980895,-82.946078,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,1,84.0
39.980903,-82.945837,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,1,84.0
